word,token
<END>,0
Ve,1
.,2
Vete,3
Vaya,4
Váyase,5
Hola,6
¡Corre,7
!,8
Corred,9
¿Quién,10
?,11
¡Fuego,12
¡Incendio,13
¡Disparad,14
¡Ayuda,15
¡Socorro,16
¡Auxilio,17
¡Salta,18
Salte,19
¡Parad,20
¡Para,21
¡Pare,22
¡Espera,23
Esperen,24
Continúa,25
Continúe,26
Corrí,27
Corría,28
Lo,29
intento,30
¡He,31
ganado,32
¡Oh,33
",",34
no,35
Tomátelo,36
con,37
soda,38
Sonríe,39
¡Al,40
ataque,41
¡Atacad,42
Levanta,43
ahora,44
mismo,45
¡Lo,46
tengo,47
¿Lo,48
pillas,49
¿Entendiste,50
Él,51
corrió,52
Métete,53
adentro,54
Abrázame,55
Me,56
caí,57
Yo,58
lo,59
sé,60
Salí,61
Mentí,62
Perdí,63
Dimito,64
Renuncié,65
Estoy,66
trabajando,67
Tengo,68
diecinueve,69
levantado,70
Escucha,71
Escuche,72
Escuchen,73
¡No,74
puede,75
ser,76
De,77
ninguna,78
manera,79
¡De,80
¡Imposible,81
ningún,82
modo,83
eso,84
nada,85
¡Ni,86
cagando,87
¡Mangos,88
¡Minga,89
en,90
pedo,91
¿En,92
serio,93
¿La,94
verdad,95
¡Gracias,96
Gracias,97
Pruébalo,98
procuramos,99
Ganamos,100
¿Por,101
qué,102
yo,103
Pregúntale,104
a,105
Tom,106
¡Órale,107
Mantente,108
calma,109
Estate,110
tranquilo,111
Sé,112
justo,113
Sean,114
gentiles,115
agradable,116
Pírate,117
Llamame,118
Llamadme,119
Llámame,120
Llámanos,121
Entre,122
Pase,123
¡Entren,124
Ándale,125
Suéltalo,126
Agarra,127
Bájate,128
Sal,129
Salid,130
Salgan,131
¡Vete,132
de,133
aquí,134
¡Lárgate,135
¡Salga,136
¡Largo,137
ya,138
¡A,139
la,140
calle,141
Lárguese,142
casa,143
despacio,144
¡Hasta,145
luego,146
Hasta,147
vista,148
¡Chau,149
un,150
momento,151
¡Un,152
segundo,153
fuertemente,154
vino,155
renunció,156
Ayúdame,157
Échame,158
una,159
mano,160
Ayudame,161
Ayúdanos,162
Golpea,163
Espera,164
Resista,165
Resiste,166
Abraza,167
acuerdo,168
incliné,169
he,170
mudado,171
mudé,172
trasladé,173
trasladado,174
Dormí,175
intenté,176
Iré,177
Soy,178
gordo,179
gorda,180
forma,181
afectado,182
viejo,183
tímido,184
mojada,185
