word,token
<END>,0
Go,1
.,2
Hi,3
Run,4
!,5
Who,6
?,7
Fire,8
Help,9
Jump,10
Stop,11
Wait,12
on,13
Hello,14
I,15
ran,16
try,17
won,18
Oh,19
no,20
Relax,21
Smile,22
Attack,23
Get,24
up,25
now,26
Got,27
it,28
He,29
Hop,30
in,31
Hug,32
me,33
fell,34
know,35
left,36
lied,37
lost,38
quit,39
work,40
'm,41
19,42
Listen,43
No,44
way,45
Really,46
Thanks,47
Try,48
We,49
Why,50
Ask,51
Tom,52
Awesome,53
Be,54
calm,55
cool,56
fair,57
kind,58
nice,59
Beat,60
Call,61
us,62
Come,63
Drop,64
out,65
away,66
home,67
slow,68
Goodbye,69
Hang,70
came,71
Hit,72
Hold,73
agree,74
bowed,75
moved,76
slept,77
tried,78
'll,79
go,80
fat,81
fit,82
hit,83
old,84
shy,85
wet,86
It,87
's,88
OK,89
Join,90
Keep,91
Me,92
",",93
too,94
Open,95
Perfect,96
See,97
you,98
Show,99
Shut,100
Skip,101
So,102
long,103
Take,104
Tell,105
ate,106
Wake,107
Wash,108
care,109
Welcome,110
not,111
You,112
run,113
Am,114
them,115
Back,116
off,117
a,118
man,119
brave,120
brief,121
quiet,122
still,123
Cheer,124
Cool,125
Cuff,126
him,127
Do,128
n't,129
Drive,130
Find,131
Fix,132
this,133
down,134
real,135
ahead,136
Good,137
job,138
Grab,139
Have,140
fun,141
spoke,142
tries,143
guys,144
How,145
cute,146
deep,147
Humor,148
Hurry,149
agreed,150
am,151
can,152
did,153
failed,154
forgot,155
get,156
by,157
got,158
phoned,159
refuse,160
resign,161
saw,162
smiled,163
stayed,164
talked,165
use,166
waited,167
pay,168
back,169
bald,170
done,171
easy,172
fine,173
free,174
full,175
here,176
hurt,177
late,178
lazy,179
mean,180
next,181
okay,182
poor,183
rich,184
safe,185
sick,186
thin,187
tidy,188
warm,189
weak,190
wise,191
've,192
helps,193
hurts,194
works,195
his,196
new,197
odd,198
red,199
sad,200
Kiss,201
Leave,202
Let,203
Look,204
Marry,205
May,206
Save,207
She,208
died,209
runs,210
Sit,211
Speak,212
Stand,213
Stay,214
put,215
Terrific,216
They,217
knew,218
lies,219
paid,220
swam,221
wept,222
Too,223
Trust,224
hard,225
some,226
Use,227
Warn,228
Watch,229
're,230
What,231
for,232
he,233
Write,234
After,235
Aim,236
Answer,237
Birds,238
fly,239
Bless,240
Calm,241
Can,242
we,243
Catch,244
over,245
soon,246
Dogs,247
bark,248
ask,249
cry,250
lie,251
Fantastic,252
Feel,253
Follow,254
Forget,255
ready,256
